District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
2191,Central SD 13J,Polk,Jennifer Kubista,3089,29%,15,14%,>95%,15%,16,164,94,6,1,0,0,70%,58%,Decrease,1%,62%,26%,Increase,2%,40%,15%,Decrease,1%,26%,78%,Increase,3%,84%,82%,Decrease,3%,81%,93%,Increase,7%,87%
1945,Clatskanie SD 6J,Columbia,Danielle Hudson,702,<5%,3,18%,48%,10%,4,45,24,1,0,0,0,62%,58%,Decrease,6%,62%,39%,Decrease,4%,40%,25%,Increase,11%,26%,76%,Increase,2%,84%,70%,Increase,3%,81%,73%,Decrease,14%,87%
1927,Colton SD 53,Clackamas,Dave Kline,646,<5%,13,14%,22%,28%,4,36,12,1,0,0,1,81%,56%,Decrease,6%,62%,25%,Decrease,16%,40%,28%,Increase,9%,26%,78%,Increase,4%,84%,86%,Decrease,12%,81%,98%,Increase,6%,87%
2006,Condon SD 25J,Gilliam,Brian Schimel,123,*,2,12%,40%,12%,2,12,3,0,0,0,0,56%,71%,Decrease,2%,62%,*,Unavailable,,40%,18%,Decrease,22%,26%,>95%,Increase,>2%,84%,92%,No Change,,81%,100%,Increase,25%,87%
1965,Coos Bay SD 9,Coos,Charis McGaughy,3013,<5%,19,17%,>95%,17%,15,164,50,6,1,3,0,78%,54%,Increase,5%,62%,29%,Increase,2%,40%,15%,Decrease,1%,26%,91%,Increase,2%,84%,69%,Increase,3%,81%,73%,Decrease,12%,87%
1964,Coquille SD 8,Coos,Wayne Gallagher,1264,<5%,4,16%,>95%,20%,8,68,33,3,0,0,0,71%,47%,Decrease,6%,62%,50%,Increase,24%,40%,10%,Decrease,7%,26%,50%,No Change,,84%,50%,Decrease,2%,81%,62%,Decrease,7%,87%
2186,Corbett SD 39,Multnomah,Derek Fialkiewicz,1030,5%,18,18%,23%,6%,6,56,19,2,0,0,0,86%,61%,Decrease,2%,62%,40%,Decrease,5%,40%,19%,Decrease,7%,26%,>95%,No Change,,84%,89%,Decrease,2%,81%,93%,Decrease,3%,87%
1901,Corvallis SD 509J,Benton,Ryan Noss,6279,14%,60,13%,42%,10%,25,349,172,19,0,2,2,85%,60%,Decrease,5%,62%,38%,Decrease,5%,40%,36%,Decrease,3%,26%,85%,Decrease,5%,84%,89%,Increase,1%,81%,95%,No Change,,87%
2216,Cove SD 15,Union,Earl Pettit,283,*,4,14%,12%,13%,2,19,3,0,0,0,0,89%,71%,Increase,11%,62%,59%,Increase,34%,40%,38%,Decrease,25%,26%,>95%,No Change,,84%,89%,Increase,3%,81%,90%,Decrease,5%,87%
2086,Creswell SD 40,Lane,Michael Johnson,1104,6%,6,17%,44%,12%,7,67,25,3,0,0,0,72%,68%,Decrease,7%,62%,43%,Increase,8%,40%,30%,Increase,1%,26%,86%,Decrease,8%,84%,87%,Increase,4%,81%,86%,Decrease,5%,87%
1970,Crook County SD,Crook,Duane Yecha,3241,8%,19,15%,69%,16%,17,190,51,6,0,2,0,71%,63%,Increase,5%,62%,47%,Increase,6%,40%,34%,Increase,7%,26%,93%,No Change,,84%,92%,Increase,3%,81%,92%,Increase,2%,87%
2089,Crow-Applegate-Lorane SD 66,Lane,Heidi Brown,271,*,2,12%,24%,17%,2,21,6,0,0,0,0,83%,64%,Increase,8%,62%,29%,No Change,,40%,24%,Decrease,19%,26%,81%,Unavailable,,84%,89%,Increase,12%,81%,82%,Decrease,1%,87%
2050,Culver SD 4,Jefferson,Stefanie Garber,659,18%,3,16%,>95%,8%,5,47,16,3,0,<1,0,74%,65%,Increase,2%,62%,28%,Decrease,13%,40%,20%,Increase,>15%,26%,>95%,Increase,>2%,84%,94%,Increase,2%,81%,94%,No Change,,87%
2190,Dallas SD 2,Polk,Steve Spencer,3046,<5%,12,17%,59%,15%,13,186,125,6,2,2,0,70%,60%,Increase,4%,62%,29%,Decrease,1%,40%,20%,Increase,5%,26%,84%,Increase,10%,84%,77%,Decrease,4%,81%,88%,Decrease,3%,87%
2187,David Douglas SD 40,Multnomah,Ken Richardson,8484,43%,70,13%,>95%,16%,37,475,185,24,0,4,3,80%,60%,Decrease,5%,62%,28%,Decrease,3%,40%,26%,Decrease,7%,26%,73%,Decrease,3%,84%,77%,Increase,5%,81%,80%,Decrease,6%,87%
2253,Dayton SD 8,Yamhill,Steven Sugg,867,27%,5,15%,>95%,11%,5,52,19,3,0,0,0,70%,61%,Increase,7%,62%,15%,Increase,6%,40%,16%,Increase,4%,26%,69%,Decrease,20%,84%,82%,Increase,3%,81%,88%,Decrease,3%,87%
2011,Dayville SD 16J,Grant,Davida Irving,54,*,1,20%,56%,*,1,8,3,0,0,0,0,100%,55%,Increase,1%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,100%,No Change,,81%,100%,No Change,,87%
2017,Diamond SD 7,Harney,Shannon Criss,10,*,1,*,*,*,0,2,1,0,0,0,0,0%,80%,Increase,20%,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
2021,Double O SD 28,Harney,Shannon Criss,3,*,1,*,*,*,0,1,0,0,0,0,0,0%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
1993,Douglas County SD 15,Douglas,Steve Woods,222,*,2,18%,>95%,20%,2,22,8,<1,0,<1,0,81%,57%,Increase,3%,62%,40%,Increase,23%,40%,<5%,Decrease,>5%,26%,82%,Decrease,6%,84%,86%,Increase,4%,81%,82%,Decrease,3%,87%
1991,Douglas County SD 4,Douglas,Jared Cordon,5576,<5%,20,14%,94%,16%,23,349,144,19,1,4,0,76%,60%,Increase,5%,62%,36%,No Change,,40%,29%,Decrease,2%,26%,81%,Increase,1%,84%,70%,Increase,1%,81%,78%,Increase,2%,87%
2019,Drewsey SD 13,Harney,Shannon Criss,8,*,1,*,*,*,0,2,1,0,0,0,0,100%,*,Unavailable,,62%,*,Unavailable,,40%,*,Unavailable,,26%,*,Unavailable,,84%,*,Unavailable,,81%,*,Unavailable,,87%
2229,Dufur SD 29,Wasco,Jack Henderson,335,*,3,21%,82%,8%,3,21,10,1,0,0,0,95%,64%,Increase,11%,62%,49%,Decrease,23%,40%,23%,Unavailable,,26%,50%,Decrease,39%,84%,87%,Decrease,2%,81%,93%,Increase,12%,87%
