District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,K-2 Regular Attenders,Oregon K-2 Regular Attenders Average,Grade 3 ELA,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Oregon Grade 8 Math Average,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation 2020-21,Oregon On-Time Graduation 2020-21 Average
2229,Dufur SD 29,Wasco,Jack Henderson,352,*,4,20%,>95%,8%,2,22,10,1,0,0,95%,61%,65%,72%,40%,*,27%,89%,83%,89%,81%
2043,Eagle Point SD 9,Jackson,Andrew Kovach,4173,18%,24,15%,>95%,20%,17,207,117,4,1,2,71%,75%,65%,23%,40%,14%,27%,73%,83%,81%,81%
2203,Echo SD 5,Umatilla,Raymon Smith,297,<5%,4,14%,37%,7%,2,21,8,1,0,0,82%,74%,65%,28%,40%,19%,27%,>95%,83%,94%,81%
2217,Elgin SD 23,Union,Dianne Greif,390,*,7,16%,74%,17%,2,33,7,0,0,0,71%,60%,65%,19%,40%,7%,27%,91%,83%,71%,81%
1998,Elkton SD 34,Douglas,Andy Boe,214,*,5,12%,47%,19%,2,18,3,0,0,0,85%,44%,65%,55%,40%,31%,27%,>95%,83%,96%,81%
2221,Enterprise SD 21,Wallowa,Thomas Crane,397,*,4,18%,>95%,14%,2,30,11,0,0,0,86%,70%,65%,34%,40%,42%,27%,93%,83%,96%,81%
1930,Estacada SD 108,Clackamas,Ryan Carpenter,3040,10%,24,12%,66%,17%,11,128,30,7,0,2,68%,74%,65%,40%,40%,15%,27%,74%,83%,87%,81%
2082,Eugene SD 4J,Lane,Andy Dey,16291,7%,48,14%,43%,14%,64,900,341,46,4,15,78%,73%,65%,48%,40%,35%,27%,85%,83%,79%,81%
2193,Falls City SD 57,Polk,Cory Ellis,168,*,2,19%,>95%,22%,2,19,10,1,0,0,79%,<5%,65%,15%,40%,<5%,27%,77%,83%,76%,81%
2084,Fern Ridge SD 28J,Lane,Gary Carpenter,1350,<5%,3,19%,>95%,19%,10,79,32,5,0,0,78%,38%,65%,43%,40%,23%,27%,72%,83%,78%,81%
2241,Forest Grove SD 15,Washington,David Parker,5711,36%,52,16%,54%,14%,21,329,173,25,0,6,80%,64%,65%,29%,40%,12%,27%,80%,83%,79%,81%
2248,Fossil SD 21J,Wheeler,Jon McMurray,1432,*,3,9%,28%,11%,1,37,4,0,0,0,84%,92%,65%,62%,40%,49%,27%,*,83%,0%,81%
2020,Frenchglen SD 16,Harney,Carolyn Koskela,8,*,1,*,*,*,0,1,0,0,0,0,100%,*,65%,*,40%,*,27%,*,83%,*,81%
2245,Gaston SD 511J,Washington,Summer Catino,489,<5%,3,17%,24%,9%,4,36,13,2,0,0,59%,66%,65%,41%,40%,6%,27%,78%,83%,94%,81%
2137,Gervais SD 1,Marion,Dandy Stevens,1302,39%,10,16%,78%,21%,8,89,30,5,0,1,80%,68%,65%,23%,40%,25%,27%,72%,83%,81%,81%
1931,Gladstone SD 115,Clackamas,Bob Stewart,1698,10%,22,16%,>95%,14%,10,103,11,6,1,2,81%,61%,65%,52%,40%,20%,27%,82%,83%,86%,81%
2000,Glendale SD 77,Douglas,Bridget McMillen,261,*,4,19%,>95%,37%,3,19,10,1,0,0,42%,24%,65%,37%,40%,18%,27%,83%,83%,83%,81%
1992,Glide SD 12,Douglas,Patrick Mayer,676,*,6,17%,>95%,14%,5,44,20,1,0,0,73%,59%,65%,43%,40%,16%,27%,89%,83%,91%,81%
2054,Grants Pass SD 7,Josephine,Tim Sweeney,5413,<5%,21,15%,>95%,19%,23,306,151,13,1,1,82%,73%,65%,34%,40%,28%,27%,76%,83%,77%,81%
2100,Greater Albany Public SD 8J,Linn,Andy Gardner,8896,14%,28,15%,45%,16%,34,504,230,24,4,3,72%,61%,65%,38%,40%,21%,27%,74%,83%,80%,81%
2183,Gresham-Barlow SD 10J,Multnomah,James Hiu,11285,24%,76,14%,46%,18%,42,587,177,37,1,8,71%,67%,65%,29%,40%,19%,27%,79%,83%,74%,81%
2014,Harney County SD 3,Harney,Robert Medley,735,*,8,15%,>95%,17%,5,45,20,2,1,0,70%,65%,65%,28%,40%,25%,27%,73%,83%,86%,81%
